"site","block","plot","flood","clone","div","pdiv","herbivory","nlvs","error","alive","a_div","norm","hnorm"
"Brazil","1","A1",0,0,3,1,21.8333333333333,9,9.73538791100682,50,2.11111111111111,0.4,0.338709677419355
"Brazil","1","B1",0,0,1,0.333333333333333,36.9,18,27.0465587435681,83.3333333333333,1.22222222222222,0.8,0.824731182795699
"Brazil","1","C1",0,0,1,0.333333333333333,18,1,18.1464012683766,16.6666666666667,1,0,0.21505376344086
"Brazil","1","D1",0,0,1,0.333333333333333,21.375,14,19.8914637387581,66.6666666666667,1.57142857142857,0.6,0.323924731182796
"Brazil","1","E1",0,1,3,1,17.5,9,23.794840710634,66.6666666666667,1.66666666666667,0.6,0.198924731182796
"Brazil","1","F1",0,1,1,0.333333333333333,42.3333333333333,7,30.9861720311312,50,1.14285714285714,0.4,1
"Brazil","1","G1",0,1,1,0.333333333333333,30,2,14.142135623731,33.3333333333333,1,0.2,0.602150537634409
"Brazil","1","H1",0,1,1,0.333333333333333,20.6,17,22.6866441663242,83.3333333333333,1.47058823529412,0.8,0.298924731182796
"Brazil","2","A2",0,0,3,1,20.1666666666667,9,16.695807857064,50,1.33333333333333,0.4,0.28494623655914
"Brazil","2","B2",0,0,1,0.333333333333333,29,2,29.698484809835,16.6666666666667,1,0,0.56989247311828
"Brazil","2","C2",0,0,1,0.333333333333333,12.1666666666667,13,17.3463954727614,50,1.53846153846154,0.4,0.0268817204301075
"Brazil","2","D2",0,0,1,0.333333333333333,11.3333333333333,22,11.3080632458567,100,1.45454545454545,1,0
"Brazil","2","E2",0,1,3,1,16,3,22.9419557434264,33.3333333333333,1,0.2,0.150537634408602
"Brazil","2","F2",0,1,1,0.333333333333333,39,2,29.698484809835,33.3333333333333,1,0.2,0.89247311827957
"Brazil","2","G2",0,1,1,0.333333333333333,29,4,18.4571575998762,33.3333333333333,1.25,0.2,0.56989247311828
"Brazil","2","H2",0,1,1,0.333333333333333,12,1,18.1464012683766,16.6666666666667,2,0,0.021505376344086
"Brazil","3","A3",0,0,3,1,27.5,9,21.518080253075,33.3333333333333,1.55555555555556,0.2,0.521505376344086
"Brazil","3","F3",0,1,1,0.333333333333333,12.0833333333333,18,19.4469279459751,100,1.55555555555556,1,0.0241935483870968
"Brazil","3","H3",0,1,1,0.333333333333333,15,6,8.95916662791058,16.6666666666667,1.66666666666667,0,0.118279569892473
"Costa Rica","none","1",1,1,12,1,8.3125,96,20.5019227810295,66.6666666666667,1.47916666666667,0.636363636363636,0.205160320641283
"Costa Rica","none","11",0,0,2,0.166666666666667,20.7142857142857,31,31.0907101569668,58.3333333333333,1.03225806451613,0.545454545454545,0.55310621242485
"Costa Rica","none","12",1,1,2,0.166666666666667,16.2272727272727,55,23.9725853525407,91.6666666666667,1.47272727272727,0.909090909090909,0.427218072508654
"Costa Rica","none","13",1,1,2,0.166666666666667,24.25,25,23.28626204439,50,1.48,0.454545454545454,0.652304609218437
"Costa Rica","none","14",1,1,2,0.166666666666667,6.28571428571429,43,10.8470694073875,58.3333333333333,1.32558139534884,0.545454545454545,0.148296593186373
"Costa Rica","none","15",0,0,2,0.166666666666667,26.4285714285714,25,28.0815479155501,58.3333333333333,1.24,0.545454545454545,0.713426853707415
"Costa Rica","none","16",0,0,2,0.166666666666667,12.125,15,21.5830621420727,33.3333333333333,1.46666666666667,0.272727272727273,0.312124248496994
"Costa Rica","none","17",0,0,2,0.166666666666667,9.57142857142857,45,13.3544151515671,58.3333333333333,1.35555555555556,0.545454545454545,0.240480961923848
"Costa Rica","none","19",0,1,2,0.166666666666667,12.2857142857143,27,24.4514170319799,58.3333333333333,1.37037037037037,0.545454545454545,0.316633266533066
"Costa Rica","none","2",1,1,12,1,14.125,165,20.4292046362426,100,1.43636363636364,1,0.368236472945892
"Costa Rica","none","20",0,1,2,0.166666666666667,9.7,30,15.2362619484216,41.6666666666667,1.6,0.363636363636364,0.244088176352705
"Costa Rica","none","21",0,1,2,0.166666666666667,22.8,20,25.4050865192904,41.6666666666667,1.6,0.363636363636364,0.611623246492986
"Costa Rica","none","22",0,1,2,0.166666666666667,9.625,20,17.7259844949664,33.3333333333333,1.25,0.272727272727273,0.241983967935872
"Costa Rica","none","23",0,0,1,0.0833333333333333,34,35,25.1722803392738,75,1.42857142857143,0.727272727272727,0.925851703406814
"Costa Rica","none","24",0,0,1,0.0833333333333333,13.3,80,20.8188046386501,83.3333333333333,1.6625,0.818181818181818,0.345090180360721
"Costa Rica","none","25",0,0,1,0.0833333333333333,10.75,10,10.5414525669958,16.6666666666667,1.2,0.0909090909090909,0.273547094188377
"Costa Rica","none","27",0,1,1,0.0833333333333333,25.6,17,28.5290100032354,41.6666666666667,1.35294117647059,0.363636363636364,0.690180360721443
"Costa Rica","none","28",0,1,1,0.0833333333333333,1,1,18.1464012683766,8.33333333333333,1,0,0
"Costa Rica","none","29",0,1,1,0.0833333333333333,27.8333333333333,17,18.5706124578277,25,2.05882352941176,0.181818181818182,0.752839011356045
"Costa Rica","none","3",1,1,12,1,4.16666666666667,37,17.5016086776704,50,1.37837837837838,0.454545454545454,0.0888443553774215
"Costa Rica","none","4",0,1,12,1,36.6428571428571,71,30.1350214385624,58.3333333333333,1.22535211267606,0.545454545454545,1
"Costa Rica","none","5",0,1,12,1,8.78571428571429,68,13.6864021262225,58.3333333333333,1.38235294117647,0.545454545454545,0.218436873747495
"Costa Rica","none","6",0,1,12,1,20,5,22.8298050802016,8.33333333333333,1.6,0,0.533066132264529
"Costa Rica","none","7",1,0,2,0.166666666666667,20.75,17,24.563094028141,33.3333333333333,1.17647058823529,0.272727272727273,0.554108216432866
"Costa Rica","none","8",1,0,2,0.166666666666667,17.2222222222222,86,19.9454934413348,75,1.27906976744186,0.727272727272727,0.455132487196615
"Costa Rica","none","9",1,0,2,0.166666666666667,23.5,3,20.0333056017556,16.6666666666667,1.66666666666667,0.0909090909090909,0.6312625250501
"Ecuador","none","1",1,1,10,1,6.72727272727273,110,15.7951967445856,91.6666666666667,1.70909090909091,0.888888888888889,0.189234113284746
"Ecuador","none","10",1,0,2,0.2,12.75,76,25.0985810740333,50,1.42105263157895,0.333333333333333,0.358649789029536
"Ecuador","none","11",1,1,2,0.2,16.2,55,19.4360212635951,83.3333333333333,1.52727272727273,0.777777777777778,0.455696202531646
"Ecuador","none","12",1,1,2,0.2,26.4375,55,21.8152635534326,66.6666666666667,1.29090909090909,0.555555555555556,0.743670886075949
"Ecuador","none","13",1,1,2,0.2,15.25,33,17.9006623375006,83.3333333333333,1.15151515151515,0.777777777777778,0.428973277074543
"Ecuador","none","14",1,1,2,0.2,1.66666666666667,148,12.8902815461079,100,1.08108108108108,1,0.046882325363338
"Ecuador","none","15",0,0,2,0.2,12,25,18.653239218252,33.3333333333333,1.52,0.111111111111111,0.337552742616034
"Ecuador","none","16",0,0,2,0.2,22.3,15,27.7423520134486,41.6666666666667,2,0.222222222222222,0.627285513361463
"Ecuador","none","17",0,0,2,0.2,22.5625,59,28.1785967331865,66.6666666666667,1.33898305084746,0.555555555555556,0.634669479606188
"Ecuador","none","18",0,0,2,0.2,0,28,5.72229927517855,25,1.03571428571429,0,0
"Ecuador","none","19",0,1,2,0.2,17.7222222222222,34,22.7632940922939,75,2.05882352941176,0.666666666666667,0.498515393030161
"Ecuador","none","2",1,1,10,1,16.3,68,18.1157627607524,83.3333333333333,2.11764705882353,0.777777777777778,0.458509142053446
"Ecuador","none","20",0,1,2,0.2,21.0833333333333,40,24.1404012882755,100,1.425,1,0.593061415846226
"Ecuador","none","21",0,1,2,0.2,29.9285714285714,18,34.9827221592775,58.3333333333333,1.38888888888889,0.444444444444444,0.841872614024513
"Ecuador","none","22",0,1,2,0.2,10.7,93,11.5122452439276,83.3333333333333,1.10752688172043,0.777777777777778,0.30098452883263
"Ecuador","none","23",0,0,1,0.1,16.8333333333333,37,21.1810442763485,100,1.62162162162162,1,0.473511486169714
"Ecuador","none","24",0,0,1,0.1,22.3333333333333,14,19.5639273344401,50,1.35714285714286,0.333333333333333,0.628223159868729
"Ecuador","none","25",0,0,1,0.1,21.5,95,21.5250056413731,66.6666666666667,1.32631578947368,0.555555555555556,0.60478199718706
"Ecuador","none","26",0,0,1,0.1,0.833333333333333,25,12.2518025884629,50,1.08,0.333333333333333,0.023441162681669
"Ecuador","none","27",0,1,1,0.1,13.7272727272727,37,11.0614581252137,91.6666666666667,1.35135135135135,0.888888888888889,0.386139879810766
"Ecuador","none","28",0,1,1,0.1,35.55,35,25.0578155002997,83.3333333333333,1,0.777777777777778,1
"Ecuador","none","29",0,1,1,0.1,9.38888888888889,98,21.2633220823883,75,1.14285714285714,0.666666666666667,0.264103766213471
"Ecuador","none","3",1,1,10,1,6.05555555555556,46,21.0553904879257,75,1.56521739130435,0.666666666666667,0.170339115486795
"Ecuador","none","30",0,1,1,0.1,8.72222222222222,47,16.864810453645,75,1.21276595744681,0.666666666666667,0.245350836068136
"Ecuador","none","4",0,1,10,1,11.5909090909091,92,20.8513726645785,91.6666666666667,1.60869565217391,0.888888888888889,0.326045262754124
"Ecuador","none","5",0,1,10,1,15.9545454545455,95,18.3665063480002,91.6666666666667,1.81052631578947,0.888888888888889,0.448791714614499
"Ecuador","none","6",0,1,10,1,12.85,46,17.0059523537771,83.3333333333333,1.5,0.777777777777778,0.361462728551336
"Ecuador","none","7",1,0,2,0.2,9.83333333333333,23,13.4965959696065,50,1.39130434782609,0.333333333333333,0.276605719643694
"Ecuador","none","8",1,0,2,0.2,14.6428571428571,40,23.7264187925179,58.3333333333333,1.725,0.444444444444444,0.411894715692184
"Ecuador","none","9",1,0,2,0.2,22.3333333333333,46,19.3551226538831,100,1.6304347826087,1,0.628223159868729
"mogi","1","1",0,0,1,0.25,19.8333333333333,17,23.7737497351719,25,1.23529411764706,0.222222222222222,1
"mogi","1","11",0,1,1,0.25,4.5,6,15.0521316319871,8.33333333333333,1.33333333333333,0,0.206896551724138
"mogi","1","12",0,0,1,0.25,3.55555555555556,118,19.7646004799226,75,1.07627118644068,0.888888888888889,0.158045977011494
"mogi","1","2",0,0,2,0.5,1.14285714285714,56,11.6321179856107,58.3333333333333,1.05357142857143,0.666666666666667,0.0332512315270936
"mogi","1","3",0,0,4,1,1.875,49,13.2137709037428,33.3333333333333,1.08163265306122,0.333333333333333,0.0711206896551724
"mogi","1","4",0,1,2,0.5,1.22222222222222,60,14.9557822840804,75,1.08333333333333,0.888888888888889,0.0373563218390805
"mogi","1","5",0,1,4,1,3.04375,58,20.2382211827638,66.6666666666667,1.08620689655172,0.777777777777778,0.131573275862069
"mogi","1","6",0,1,1,0.25,0.5,90,15.4283370141186,50,1.03333333333333,0.555555555555555,0
"mogi","1","7",0,1,1,0.25,2.111111111,8,15.4758997225486,25,1,0.222222222222222,0.0833333333275862
"mogi","1","8",0,0,1,0.25,1.6045454545,45,15.5900012987765,83.3333333333333,1.02222222222222,1,0.0571316614396552
"mogi","1","9",0,1,1,0.25,1.5,52,8.13931764365872,50,1.07692307692308,0.555555555555555,0.0517241379310345
"mogi","2","1",0,1,1,0.25,0.5,7,35.5454102589377,16.6666666666667,1,0.111111111111111,0
"mogi","2","10",0,0,1,0.25,17.0555555555556,81,27.6339386968495,75,1.24691358024691,0.888888888888889,0.85632183908046
"mogi","2","12",0,1,2,0.5,9,33,17.6588569073065,33.3333333333333,1.18181818181818,0.333333333333333,0.439655172413793
"mogi","2","2",0,1,4,1,2.4375,61,16.2818582202347,66.6666666666667,1.34426229508197,0.777777777777778,0.100215517241379
"mogi","2","3",0,1,1,0.25,3.27777777777778,118,7.95434604693138,75,1.16101694915254,0.888888888888889,0.14367816091954
"mogi","2","5",0,0,2,0.5,2.125,28,4.520968197096,33.3333333333333,1.10714285714286,0.333333333333333,0.084051724137931
"mogi","2","6",0,1,1,0.25,3.41666666666667,44,11.588614373025,50,1.13636363636364,0.555555555555555,0.150862068965517
"mogi","2","7",0,0,4,1,5.4,161,20.1869311546107,41.6666666666667,1.12422360248447,0.444444444444444,0.253448275862069
"mogi","2","8",0,0,1,0.25,1.75,121,13.7943225036003,66.6666666666667,1.13223140495868,0.777777777777778,0.0646551724137931
"mogi","2","9",0,0,1,0.25,1,24,4.51085646933667,33.3333333333333,1,0.333333333333333,0.0258620689655172
"mogi","3","10",0,0,1,0.25,6,9,9.5277372853043,16.6666666666667,1.22222222222222,0.111111111111111,0.28448275862069
"mogi","3","11",0,1,2,0.5,1,19,6.37337297205614,33.3333333333333,1,0.333333333333333,0.0258620689655172
"mogi","3","12",0,1,1,0.25,11.75,32,23.2093383597373,33.3333333333333,1.1875,0.333333333333333,0.581896551724138
"mogi","3","2",0,1,4,1,0.875,27,15.68692997625,33.3333333333333,1.11111111111111,0.333333333333333,0.0193965517241379
"mogi","3","3",0,0,1,0.25,0.5,32,3.86972846425906,33.3333333333333,1.03125,0.333333333333333,0
"mogi","3","4",0,0,1,0.25,2.16666666666667,54,17.9231315429163,50,1.05555555555556,0.555555555555555,0.0862068965517241
"mogi","3","5",0,1,1,0.25,1.6875,73,9.57160787543852,66.6666666666667,1.16438356164384,0.777777777777778,0.0614224137931035
"mogi","3","6",0,0,2,0.5,1.1,55,9.3369401400272,41.6666666666667,1.09090909090909,0.444444444444444,0.0310344827586207
"mogi","3","7",0,0,1,0.25,10,3,23.629078131263,8.33333333333333,1.33333333333333,0,0.491379310344828
"mogi","3","8",0,1,1,0.25,4.125,50,26.2349587616312,33.3333333333333,1.16,0.333333333333333,0.1875
"mogi","3","9",0,0,4,1,13.6666666666667,36,17.4090607680425,50,1.19444444444444,0.555555555555555,0.681034482758621
"peru","none","1",1,1,6,1,15.5,14,24.3765391173698,8.33333333333333,2.28571428571429,0,0.303030303030303
"peru","none","10",1,1,2,0.333333333333333,1,16,1.85264450628464,25,1,0.666666666666667,0.0101010101010101
"peru","none","12",1,1,2,0.333333333333333,11,24,15.9963764012671,16.6666666666667,1.75,0.333333333333333,0.212121212121212
"peru","none","16",0,1,2,0.333333333333333,1,5,33.3511618988005,8.33333333333333,1.6,0,0.0101010101010101
"peru","none","17",0,1,2,0.333333333333333,18,35,16.0878888629685,8.33333333333333,2.42857142857143,0,0.353535353535354
"peru","none","18",0,1,2,0.333333333333333,27.1666666666667,54,22.9728442367732,25,1.44444444444444,0.666666666666667,0.538720538720539
"peru","none","2",1,1,6,1,1,3,0.763762615825973,8.33333333333333,1,0,0.0101010101010101
"peru","none","26",1,1,1,0.166666666666667,3.5,3,8.08290376865476,16.6666666666667,1,0.333333333333333,0.0606060606060606
"peru","none","27",1,1,1,0.166666666666667,50,1,18.1464012683766,8.33333333333333,1,0,1
"peru","none","29",1,1,1,0.166666666666667,3,6,2.42212028327799,16.6666666666667,1.33333333333333,0.333333333333333,0.0505050505050505
"peru","none","3",1,1,6,1,0.8,57,13.6053051995879,8.33333333333333,1.29824561403509,0,0.00606060606060606
"peru","none","30",1,1,1,0.166666666666667,3,6,7.5476265585061,8.33333333333333,1.33333333333333,0,0.0505050505050505
"peru","none","4",0,1,6,1,14.3,41,19.1907055501405,16.6666666666667,1.82926829268293,0.333333333333333,0.278787878787879
"peru","none","5",0,1,6,1,0.5,15,2.83389350204844,8.33333333333333,1,0,0
"peru","none","6",0,1,6,1,14.75,29,25.0480051416546,33.3333333333333,1.41379310344828,1,0.287878787878788
"peru","none","7",1,0,2,0.333333333333333,1.25,40,11.9091041989107,16.6666666666667,1.3,0.333333333333333,0.0151515151515152
"peru","none","9",1,0,2,0.333333333333333,11.3,84,15.7957415265292,33.3333333333333,1.47619047619048,1,0.218181818181818
